迭代轮数,当前损失,参数名称,更新前权重,梯度,学习率,更新量,更新后权重
1,0.173494,截距 (Bias),0.000000,-0.513056,0.01,-0.005131,0.005131
1,0.173494,人均犯罪率 (CRIM),0.000000,0.031472,0.01,0.000315,-0.000315
1,0.173494,住宅用地比例 (ZN),0.000000,-0.003256,0.01,-0.000033,0.000033
1,0.173494,商业用地比例 (INDUS),0.000000,-0.020649,0.01,-0.000206,0.000206
1,0.173494,查尔斯河 (CHAS),0.000000,0.001232,0.01,0.000012,-0.000012
1,0.173494,一氧化氮浓度 (NOX),0.000000,-0.006985,0.01,-0.000070,0.000070
1,0.173494,平均房间数 (RM),0.000000,0.007343,0.01,0.000073,-0.000073
1,0.173494,老房比例 (AGE),0.000000,-0.001245,0.01,-0.000012,0.000012
1,0.173494,就业中心距离 (DIS),0.000000,0.019966,0.01,0.000200,-0.000200
1,0.173494,高速公路便利 (RAD),0.000000,0.005049,0.01,0.000050,-0.000050
1,0.173494,财产税率 (TAX),0.000000,0.005952,0.01,0.000060,-0.000060
1,0.173494,师生比例 (PTRATIO),0.000000,0.004359,0.01,0.000044,-0.000044
1,0.173494,黑人比例 (B),0.000000,-0.004848,0.01,-0.000048,0.000048
1,0.173494,低收入比 (LSTAT),0.000000,-0.017036,0.01,-0.000170,0.000170
2,0.170852,截距 (Bias),0.005131,-0.507925,0.01,-0.005079,0.010210
2,0.170852,人均犯罪率 (CRIM),-0.000315,0.031164,0.01,0.000312,-0.000626
