case_name_en,case_name_zh,release_date,rarity_en,rarity_zh,item_name_en,item_name_zh,weapon,finish,source_url,steamdt_market_hash_name
Chroma 2 Case,,,Mil-Spec,军规级,AK-47 | Elite Build,,AK-47,Elite Build,https://counterstrike.fandom.com/wiki/Chroma_2_Case,
Chroma 2 Case,,,Mil-Spec,军规级,MP7 | Armor Core,,MP7,Armor Core,https://counterstrike.fandom.com/wiki/Chroma_2_Case,
Chroma 2 Case,,,Mil-Spec,军规级,Desert Eagle | Bronze Deco,,Desert Eagle,Bronze Deco,https://counterstrike.fandom.com/wiki/Chroma_2_Case,
Chroma 2 Case,,,Mil-Spec,军规级,P250 | Valence,,P250,Valence,https://counterstrike.fandom.com/wiki/Chroma_2_Case,
Chroma 2 Case,,,Mil-Spec,军规级,Negev | Man-o'-war,,Negev,Man-o'-war,https://counterstrike.fandom.com/wiki/Chroma_2_Case,
Chroma 2 Case,,,Mil-Spec,军规级,Sawed-Off | Origami,,Sawed-Off,Origami,https://counterstrike.fandom.com/wiki/Chroma_2_Case,
Chroma 2 Case,,,Restricted,受限级,AWP | Worm God,,AWP,Worm God,https://counterstrike.fandom.com/wiki/Chroma_2_Case,
Chroma 2 Case,,,Restricted,受限级,MAG-7 | Heat,,MAG-7,Heat,https://counterstrike.fandom.com/wiki/Chroma_2_Case,
Chroma 2 Case,,,Restricted,受限级,CZ75-Auto | Pole Position,,CZ75-Auto,Pole Position,https://counterstrike.fandom.com/wiki/Chroma_2_Case,
Chroma 2 Case,,,Restricted,受限级,UMP-45 | Grand Prix,,UMP-45,Grand Prix,https://counterstrike.fandom.com/wiki/Chroma_2_Case,
Chroma 2 Case,,,Classified,保密级,Five-SeveN | Monkey Business,,Five-SeveN,Monkey Business,https://counterstrike.fandom.com/wiki/Chroma_2_Case,
Chroma 2 Case,,,Classified,保密级,Galil AR | Eco,,Galil AR,Eco,https://counterstrike.fandom.com/wiki/Chroma_2_Case,
Chroma 2 Case,,,Classified,保密级,FAMAS | Djinn,,FAMAS,Djinn,https://counterstrike.fandom.com/wiki/Chroma_2_Case,
Chroma 2 Case,,,Covert,隐秘级,M4A1-S | Hyper Beast,,M4A1-S,Hyper Beast,https://counterstrike.fandom.com/wiki/Chroma_2_Case,
Chroma 2 Case,,,Covert,隐秘级,MAC-10 | Neon Rider,,MAC-10,Neon Rider,https://counterstrike.fandom.com/wiki/Chroma_2_Case,
Chroma 2 Case,,,Covert,隐秘级,★ Bayonet | Doppler (Phase 1),,★ Bayonet,Doppler (Phase 1),https://counterstrike.fandom.com/wiki/Chroma_2_Case,
Chroma 2 Case,,,Covert,隐秘级,★ Bayonet | Doppler (Phase 2),,★ Bayonet,Doppler (Phase 2),https://counterstrike.fandom.com/wiki/Chroma_2_Case,
Chroma 2 Case,,,Covert,隐秘级,★ Bayonet | Doppler (Phase 3),,★ Bayonet,Doppler (Phase 3),https://counterstrike.fandom.com/wiki/Chroma_2_Case,
Chroma 2 Case,,,Covert,隐秘级,★ Bayonet | Doppler (Phase 4),,★ Bayonet,Doppler (Phase 4),https://counterstrike.fandom.com/wiki/Chroma_2_Case,
Chroma 2 Case,,,Covert,隐秘级,★ Bayonet | Doppler (Black Pearl),,★ Bayonet,Doppler (Black Pearl),https://counterstrike.fandom.com/wiki/Chroma_2_Case,
Chroma 2 Case,,,Covert,隐秘级,★ Bayonet | Doppler (Ruby),,★ Bayonet,Doppler (Ruby),https://counterstrike.fandom.com/wiki/Chroma_2_Case,
Chroma 2 Case,,,Covert,隐秘级,★ Bayonet | Doppler (Sapphire),,★ Bayonet,Doppler (Sapphire),https://counterstrike.fandom.com/wiki/Chroma_2_Case,
Chroma 2 Case,,,Covert,隐秘级,★ Bayonet | Damascus Steel,,★ Bayonet,Damascus Steel,https://counterstrike.fandom.com/wiki/Chroma_2_Case,
Chroma 2 Case,,,Covert,隐秘级,★ Bayonet | Marble Fade,,★ Bayonet,Marble Fade,https://counterstrike.fandom.com/wiki/Chroma_2_Case,
Chroma 2 Case,,,Covert,隐秘级,★ Bayonet | Tiger Tooth,,★ Bayonet,Tiger Tooth,https://counterstrike.fandom.com/wiki/Chroma_2_Case,
Chroma 2 Case,,,Covert,隐秘级,★ Bayonet | Rust Coat,,★ Bayonet,Rust Coat,https://counterstrike.fandom.com/wiki/Chroma_2_Case,
Chroma 2 Case,,,Covert,隐秘级,★ Bayonet | Ultraviolet,,★ Bayonet,Ultraviolet,https://counterstrike.fandom.com/wiki/Chroma_2_Case,
Chroma 2 Case,,,Covert,隐秘级,★ Flip Knife | Doppler (Phase 1),,★ Flip Knife,Doppler (Phase 1),https://counterstrike.fandom.com/wiki/Chroma_2_Case,
Chroma 2 Case,,,Covert,隐秘级,★ Flip Knife | Doppler (Phase 2),,★ Flip Knife,Doppler (Phase 2),https://counterstrike.fandom.com/wiki/Chroma_2_Case,
Chroma 2 Case,,,Covert,隐秘级,★ Flip Knife | Doppler (Phase 3),,★ Flip Knife,Doppler (Phase 3),https://counterstrike.fandom.com/wiki/Chroma_2_Case,
Chroma 2 Case,,,Covert,隐秘级,★ Flip Knife | Doppler (Phase 4),,★ Flip Knife,Doppler (Phase 4),https://counterstrike.fandom.com/wiki/Chroma_2_Case,
