marketHashName_used,rarity_en,case_name_en,price,platform,status
,Mil-Spec,Chroma 2 Case,,all,
,Mil-Spec,Chroma 2 Case,,all,
,Mil-Spec,Chroma 2 Case,,all,
,Mil-Spec,Chroma 2 Case,,all,
,Mil-Spec,Chroma 2 Case,,all,
Sawed-Off | Origami (Factory New),Mil-Spec,Chroma 2 Case,3.97,BUFF,200
Sawed-Off | Origami (Factory New),Mil-Spec,Chroma 2 Case,3.9,C5,200
Sawed-Off | Origami (Factory New),Mil-Spec,Chroma 2 Case,4.12,HALOSKINS,200
Sawed-Off | Origami (Factory New),Mil-Spec,Chroma 2 Case,3.86,YOUPIN,200
Sawed-Off | Origami (Factory New),Mil-Spec,Chroma 2 Case,0.0,WAXPEER,200
Sawed-Off | Origami (Factory New),Mil-Spec,Chroma 2 Case,0.0,DMARKET,200
Sawed-Off | Origami (Factory New),Mil-Spec,Chroma 2 Case,0.0,SKINPORT,200
Sawed-Off | Origami (Factory New),Mil-Spec,Chroma 2 Case,5.85,STEAM,200
Sawed-Off | Origami (Factory New),Mil-Spec,Chroma 2 Case,0.0,CSMONEY,200
Sawed-Off | Origami (Minimal Wear),Mil-Spec,Chroma 2 Case,2.01,BUFF,200
Sawed-Off | Origami (Minimal Wear),Mil-Spec,Chroma 2 Case,3.0,C5,200
Sawed-Off | Origami (Minimal Wear),Mil-Spec,Chroma 2 Case,2.7,YOUPIN,200
Sawed-Off | Origami (Minimal Wear),Mil-Spec,Chroma 2 Case,0.0,WAXPEER,200
Sawed-Off | Origami (Minimal Wear),Mil-Spec,Chroma 2 Case,0.0,DMARKET,200
Sawed-Off | Origami (Minimal Wear),Mil-Spec,Chroma 2 Case,0.0,CSMONEY,200
Sawed-Off | Origami (Minimal Wear),Mil-Spec,Chroma 2 Case,0.0,SKINPORT,200
Sawed-Off | Origami (Minimal Wear),Mil-Spec,Chroma 2 Case,2.85,STEAM,200
Sawed-Off | Origami (Minimal Wear),Mil-Spec,Chroma 2 Case,3.14,HALOSKINS,200
Sawed-Off | Origami (Field-Tested),Mil-Spec,Chroma 2 Case,1.4,YOUPIN,200
Sawed-Off | Origami (Field-Tested),Mil-Spec,Chroma 2 Case,1.46,C5,200
Sawed-Off | Origami (Field-Tested),Mil-Spec,Chroma 2 Case,0.0,WAXPEER,200
Sawed-Off | Origami (Field-Tested),Mil-Spec,Chroma 2 Case,0.0,DMARKET,200
Sawed-Off | Origami (Field-Tested),Mil-Spec,Chroma 2 Case,0.0,CSMONEY,200
Sawed-Off | Origami (Field-Tested),Mil-Spec,Chroma 2 Case,0.0,SKINPORT,200
Sawed-Off | Origami (Field-Tested),Mil-Spec,Chroma 2 Case,2.02,STEAM,200
