name,series,tier,price,exterior,platform
AK-47 | Asiimov,Danger Zone Case,Covert,279.97,BS,YOUPIN
AK-47 | Asiimov,Danger Zone Case,Covert,4180.0,FN,C5
AK-47 | Asiimov,Danger Zone Case,Covert,287.5,FT,BUFF
AK-47 | Asiimov,Danger Zone Case,Covert,381.99,MW,YOUPIN
AK-47 | Asiimov,Danger Zone Case,Covert,295.0,WW,BUFF
AK-47 | Blue Laminate,ESports 2013 Winter Case,Restricted,110.5,FT,YOUPIN
AK-47 | Blue Laminate,ESports 2013 Winter Case,Restricted,186.99,WW,YOUPIN
AK-47 | Case Hardened,CSGO Weapon Case,Classified,1256.89,BS,YOUPIN
AK-47 | Case Hardened,CSGO Weapon Case,Classified,5432.67,FN,YOUPIN
AK-47 | Case Hardened,CSGO Weapon Case,Classified,1449.45,FT,YOUPIN
AK-47 | Case Hardened,CSGO Weapon Case,Classified,1812.88,MW,YOUPIN
AK-47 | Case Hardened,CSGO Weapon Case,Classified,1258.11,WW,YOUPIN
AK-47 | Frontside Misty,Shadow Case,Classified,129.17,BS,C5
AK-47 | Frontside Misty,Shadow Case,Classified,1600.0,FN,YOUPIN
AK-47 | Frontside Misty,Shadow Case,Classified,137.9,FT,BUFF
AK-47 | Frontside Misty,Shadow Case,Classified,243.6,MW,YOUPIN
AK-47 | Frontside Misty,Shadow Case,Classified,135.08,WW,C5
AK-47 | Legion of Anubis,Fracture Case,Covert,234.5,BS,BUFF
AK-47 | Legion of Anubis,Fracture Case,Covert,490.0,FN,BUFF
AK-47 | Legion of Anubis,Fracture Case,Covert,254.0,FT,YOUPIN
AK-47 | Legion of Anubis,Fracture Case,Covert,267.0,MW,YOUPIN
AK-47 | Legion of Anubis,Fracture Case,Covert,238.78,WW,C5
AK-47 | Orbit Mk01,Operation Hydra Case,Restricted,220.0,BS,YOUPIN
AK-47 | Orbit Mk01,Operation Hydra Case,Restricted,949.0,FN,BUFF
AK-47 | Orbit Mk01,Operation Hydra Case,Restricted,218.5,FT,BUFF
AK-47 | Orbit Mk01,Operation Hydra Case,Restricted,296.8,MW,BUFF
AK-47 | Orbit Mk01,Operation Hydra Case,Restricted,217.48,WW,YOUPIN
AK-47 | Point Disarray,Revolver Case,Classified,105.67,BS,C5
AK-47 | Point Disarray,Revolver Case,Classified,704.5,FN,YOUPIN
AK-47 | Point Disarray,Revolver Case,Classified,104.29,FT,YOUPIN
AK-47 | Point Disarray,Revolver Case,Classified,174.4,MW,YOUPIN
AK-47 | Point Disarray,Revolver Case,Classified,119.5,WW,BUFF
AK-47 | Rat Rod,Shattered Web Case,Restricted,32.9,BS,BUFF
AK-47 | Rat Rod,Shattered Web Case,Restricted,1295.0,FN,C5
AK-47 | Rat Rod,Shattered Web Case,Restricted,34.0,FT,YOUPIN
AK-47 | Rat Rod,Shattered Web Case,Restricted,90.0,MW,C5
AK-47 | Rat Rod,Shattered Web Case,Restricted,33.29,WW,YOUPIN
AK-47 | Red Laminate,ESports 2013 Case,Classified,407.06,BS,BUFF
AK-47 | Red Laminate,ESports 2013 Case,Classified,3847.5,FN,YOUPIN
AK-47 | Red Laminate,ESports 2013 Case,Classified,397.0,FT,YOUPIN
AK-47 | Red Laminate,ESports 2013 Case,Classified,1358.5,MW,YOUPIN
AK-47 | Red Laminate,ESports 2013 Case,Classified,430.0,WW,BUFF
AK-47 | Vulcan,Huntsman Weapon Case,Covert,890.48,BS,YOUPIN
AK-47 | Vulcan,Huntsman Weapon Case,Covert,5146.0,FN,BUFF
AK-47 | Vulcan,Huntsman Weapon Case,Covert,1483.5,FT,YOUPIN
AK-47 | Vulcan,Huntsman Weapon Case,Covert,2949.5,MW,YOUPIN
AK-47 | Vulcan,Huntsman Weapon Case,Covert,1024.5,WW,YOUPIN
AUG | Amber Slipstream,Horizon Case,Mil-Spec,1.77,BS,BUFF
AUG | Amber Slipstream,Horizon Case,Mil-Spec,5.29,FN,BUFF
AUG | Amber Slipstream,Horizon Case,Mil-Spec,2.55,FT,YOUPIN
AUG | Amber Slipstream,Horizon Case,Mil-Spec,2.16,MW,BUFF
AUG | Amber Slipstream,Horizon Case,Mil-Spec,1.67,WW,BUFF
AUG | Arctic Wolf,Shattered Web Case,Restricted,14.99,BS,YOUPIN
AUG | Arctic Wolf,Shattered Web Case,Restricted,80.6,FN,YOUPIN
AUG | Arctic Wolf,Shattered Web Case,Restricted,12.99,FT,BUFF
AUG | Arctic Wolf,Shattered Web Case,Restricted,24.2,MW,BUFF
AUG | Arctic Wolf,Shattered Web Case,Restricted,17.8,WW,BUFF
AUG | Bengal Tiger,ESports 2014 Summer Case,Classified,86.38,BS,C5
AUG | Bengal Tiger,ESports 2014 Summer Case,Classified,630.0,FN,YOUPIN
AUG | Bengal Tiger,ESports 2014 Summer Case,Classified,77.5,FT,BUFF
AUG | Bengal Tiger,ESports 2014 Summer Case,Classified,215.0,MW,BUFF
AUG | Bengal Tiger,ESports 2014 Summer Case,Classified,85.0,WW,BUFF
AUG | Death by Puppy,CS20 Case,Classified,109.5,FN,BUFF
AUG | Death by Puppy,CS20 Case,Classified,41.0,FT,BUFF
AUG | Death by Puppy,CS20 Case,Classified,40.0,MW,BUFF
AUG | Death by Puppy,CS20 Case,Classified,65.04,WW,STEAM
AUG | Fleet Flock,Chroma 3 Case,Classified,79.13,BS,BUFF
AUG | Fleet Flock,Chroma 3 Case,Classified,255.0,FN,C5
AUG | Fleet Flock,Chroma 3 Case,Classified,82.89,FT,BUFF
AUG | Fleet Flock,Chroma 3 Case,Classified,88.95,MW,BUFF
AUG | Fleet Flock,Chroma 3 Case,Classified,82.0,WW,YOUPIN
