name,series,tier,price,exterior,platform,float,stattrak,next_tier,K,avg_out_next,best_exterior,value_per_item,buy_cost,margin,profit_ratio
Five-SeveN | Hyper Beast,Operation Hydra Case,Covert,2274.4,FT,BUFF,,False,Gold,5.0,16959.3,破损,3391.8599999999997,2274.4,1117.4599999999996,0.4913207879001053
Five-SeveN | Hyper Beast,Operation Hydra Case,Covert,3831.5,FN,C5,,False,Gold,5.0,23944.165999999997,破损,4788.833199999999,3831.5,957.3331999999991,0.24985859324024512
Five-SeveN | Hyper Beast,Operation Hydra Case,Covert,2803.28,MW,C5,,False,Gold,5.0,16959.3,破损,3391.8599999999997,2803.28,588.5799999999995,0.20996118832225089
AWP | Oni Taiji,Operation Hydra Case,Covert,3294.0,MW,C5,,False,Gold,5.0,16959.3,破损,3391.8599999999997,3294.0,97.85999999999967,0.02970856102003633
R8 Revolver | Skull Crusher,Prisma Case,Classified,37.9,BS,BUFF,,False,Covert,10.0,980.0,战痕,98.0,37.9,60.1,1.5857519788918206
AUG | Momentum,Prisma Case,Classified,38.4,BS,C5,,False,Covert,10.0,980.0,战痕,98.0,38.4,59.6,1.5520833333333335
XM1014 | Incinegator,Prisma Case,Classified,39.09,BS,C5,,False,Covert,10.0,980.0,战痕,98.0,39.09,58.91,1.5070350473266818
AUG | Momentum,Prisma Case,Classified,39.38,WW,BUFF,,False,Covert,10.0,980.0,战痕,98.0,39.38,58.62,1.488572879634332
AUG | Momentum,Prisma Case,Classified,39.39,FT,BUFF,,False,Covert,10.0,980.0,战痕,98.0,39.39,58.61,1.487941101802488
R8 Revolver | Skull Crusher,Prisma Case,Classified,39.55,WW,YOUPIN,,False,Covert,10.0,980.0,战痕,98.0,39.55,58.45,1.4778761061946903
XM1014 | Incinegator,Prisma Case,Classified,39.56,FT,BUFF,,False,Covert,10.0,980.0,战痕,98.0,39.56,58.44,1.4772497472194135
XM1014 | Incinegator,Prisma Case,Classified,39.85,WW,BUFF,,False,Covert,10.0,980.0,战痕,98.0,39.85,58.15,1.4592220828105393
R8 Revolver | Skull Crusher,Prisma Case,Classified,51.48,FT,YOUPIN,,False,Covert,10.0,980.0,战痕,98.0,51.48,46.52,0.9036519036519037
AUG | Arctic Wolf,Shattered Web Case,Restricted,12.99,FT,BUFF,,False,Classified,10.0,527.9,久经,52.79,12.99,39.8,3.063895304080061
P2000 | Obsidian,Shattered Web Case,Restricted,14.26,WW,BUFF,,False,Classified,10.0,526.88,破损,52.688,14.26,38.428000000000004,2.694810659186536
PP-Bizon | Embargo,Shattered Web Case,Restricted,14.5,WW,BUFF,,False,Classified,10.0,526.88,破损,52.688,14.5,38.188,2.633655172413793
AUG | Arctic Wolf,Shattered Web Case,Restricted,14.99,BS,YOUPIN,,False,Classified,10.0,529.5649999999999,久经,52.95649999999999,14.99,37.96649999999999,2.5327885256837885
PP-Bizon | Embargo,Shattered Web Case,Restricted,14.88,FT,YOUPIN,,False,Classified,10.0,526.88,破损,52.688,14.88,37.808,2.540860215053763
P2000 | Obsidian,Shattered Web Case,Restricted,15.0,FT,BUFF,,False,Classified,10.0,526.88,破损,52.688,15.0,37.688,2.5125333333333333
PP-Bizon | Embargo,Shattered Web Case,Restricted,17.0,BS,YOUPIN,,False,Classified,10.0,529.5649999999999,破损,52.95649999999999,17.0,35.95649999999999,2.115088235294117
P2000 | Obsidian,Shattered Web Case,Restricted,17.36,BS,C5,,False,Classified,10.0,529.5649999999999,破损,52.95649999999999,17.36,35.59649999999999,2.050489631336405
AUG | Arctic Wolf,Shattered Web Case,Restricted,17.8,WW,BUFF,,False,Classified,10.0,529.5649999999999,久经,52.95649999999999,17.8,35.156499999999994,1.975084269662921
MP7 | Neon Ply,Shattered Web Case,Restricted,20.98,BS,BUFF,,False,Classified,10.0,529.5649999999999,战痕,52.95649999999999,20.98,31.97649999999999,1.5241420400381311
MP7 | Neon Ply,Shattered Web Case,Restricted,22.39,FT,YOUPIN,,False,Classified,10.0,526.88,战痕,52.688,22.39,30.298000000000002,1.353193389906208
MP7 | Neon Ply,Shattered Web Case,Restricted,22.98,WW,BUFF,,False,Classified,10.0,526.88,战痕,52.688,22.98,29.708000000000002,1.2927763272410793
AUG | Arctic Wolf,Shattered Web Case,Restricted,24.2,MW,BUFF,,False,Classified,10.0,526.88,久经,52.688,24.2,28.488000000000003,1.1771900826446282
PP-Bizon | Embargo,Shattered Web Case,Restricted,34.9,MW,YOUPIN,,False,Classified,10.0,616.395,破损,61.6395,34.9,26.7395,0.7661747851002866
P2000 | Obsidian,Shattered Web Case,Restricted,35.51,MW,YOUPIN,,False,Classified,10.0,616.395,破损,61.6395,35.51,26.1295,0.7358349760630809
MP7 | Neon Ply,Shattered Web Case,Restricted,39.99,MW,YOUPIN,,False,Classified,10.0,616.395,战痕,61.6395,39.99,21.649499999999996,0.5413728432108026
AK-47 | Rat Rod,Shattered Web Case,Restricted,32.9,BS,BUFF,,False,Classified,10.0,529.5649999999999,战痕,52.95649999999999,32.9,20.056499999999993,0.6096200607902733
AK-47 | Rat Rod,Shattered Web Case,Restricted,33.29,WW,YOUPIN,,False,Classified,10.0,526.88,战痕,52.688,33.29,19.398000000000003,0.5826975067587865
M4A4 | Royal Paladin,Revolver Case,Covert,538.5,BS,C5,,False,Gold,5.0,2787.0,战痕,557.4,538.5,18.899999999999977,0.03509749303621166
AK-47 | Rat Rod,Shattered Web Case,Restricted,34.0,FT,YOUPIN,,False,Classified,10.0,526.88,战痕,52.688,34.0,18.688000000000002,0.5496470588235295
M4A4 | In Living Color,Snakebite Case,Covert,209.5,BS,BUFF,,False,Gold,5.0,1098.5,战痕,219.7,209.5,10.199999999999989,0.04868735083532214
P90 | Shapewood,Revolver Case,Classified,51.37,BS,YOUPIN,,False,Covert,10.0,553.75,战痕,55.375,51.37,4.005000000000003,0.07796379209655446
FAMAS | Djinn,Chroma 2 Case,Classified,79.36,BS,BUFF,,False,Covert,10.0,814.79,战痕,81.479,79.36,2.1189999999999998,0.02670110887096774
Sawed-Off | Highwayman,Operation Vanguard Weapon Case,Restricted,8.59,FT,BUFF,,False,Classified,10.0,106.55,久经,10.655,8.59,2.0649999999999995,0.2403958090803259
Sawed-Off | Highwayman,Operation Vanguard Weapon Case,Restricted,8.8,BS,YOUPIN,,False,Classified,10.0,107.08999999999999,久经,10.709,8.8,1.908999999999999,0.21693181818181803
Sawed-Off | Highwayman,Operation Vanguard Weapon Case,Restricted,8.88,WW,YOUPIN,,False,Classified,10.0,105.82666666666667,久经,10.582666666666666,8.88,1.7026666666666657,0.1917417417417416
P250 | Asiimov,Chroma 3 Case,Classified,78.97,BS,BUFF,,False,Covert,10.0,805.665,战痕,80.56649999999999,78.97,1.5964999999999918,0.020216537925794503
G3SG1 | The Executioner,Revolver Case,Classified,53.8,BS,BUFF,,False,Covert,10.0,553.75,战痕,55.375,53.8,1.5750000000000028,0.02927509293680303
Galil AR | Eco,Chroma 2 Case,Classified,80.0,BS,YOUPIN,,False,Covert,10.0,814.79,战痕,81.479,80.0,1.4789999999999992,0.01848749999999999
AUG | Fleet Flock,Chroma 3 Case,Classified,79.13,BS,BUFF,,False,Covert,10.0,805.665,战痕,80.56649999999999,79.13,1.4364999999999952,0.01815367117401738
Five-SeveN | Monkey Business,Chroma 2 Case,Classified,80.38,BS,C5,,False,Covert,10.0,814.79,战痕,81.479,80.38,1.0990000000000038,0.013672555362030403
AUG | Fleet Flock,Chroma 3 Case,Classified,82.89,FT,BUFF,,False,Covert,10.0,839.0,战痕,83.9,82.89,1.0100000000000051,0.012184823259741889
Sawed-Off | Zander,Spectrum Case,Mil-Spec,4.24,MW,C5,,False,Restricted,10.0,51.95,战痕,5.195,4.24,0.9550000000000001,0.22523584905660377
P250 | Asiimov,Chroma 3 Case,Classified,83.0,FT,BUFF,,False,Covert,10.0,839.0,战痕,83.9,83.0,0.9000000000000057,0.010843373493975973
AUG | Fleet Flock,Chroma 3 Case,Classified,82.0,WW,YOUPIN,,False,Covert,10.0,828.5,战痕,82.85,82.0,0.8499999999999943,0.010365853658536517
FAMAS | Djinn,Chroma 2 Case,Classified,81.69,WW,YOUPIN,,False,Covert,10.0,823.85,战痕,82.385,81.69,0.6950000000000074,0.008507773289264383
UMP-45 | Plastique,CS20 Case,Restricted,4.35,BS,BUFF,,False,Classified,10.0,50.19,久经,5.019,4.35,0.6690000000000005,0.153793103448276
MP5-SD | Agent,CS20 Case,Restricted,4.4,BS,BUFF,,False,Classified,10.0,50.19,战痕,5.019,4.4,0.6189999999999998,0.14068181818181813
P250 | Inferno,CS20 Case,Restricted,4.43,BS,BUFF,,False,Classified,10.0,50.19,战痕,5.019,4.43,0.5890000000000004,0.13295711060948093
P250 | Asiimov,Chroma 3 Case,Classified,82.45,WW,BUFF,,False,Covert,10.0,828.5,战痕,82.85,82.45,0.3999999999999915,0.00485142510612482
Sawed-Off | Morris,Spectrum 2 Case,Mil-Spec,0.72,BS,C5,,False,Restricted,10.0,11.1,战痕,1.1099999999999999,0.72,0.3899999999999999,0.5416666666666665
