name,series,tier,price,exterior,platform,float,stattrak,next_tier,K,avg_out_next,best_exterior,value_per_item,buy_cost,margin,profit_ratio
Desert Eagle | Ocean Drive,Operation Riptide Case,Covert,418.98,WW,C5,,False,Gold,5.0,3660.3875000000003,战痕,732.0775000000001,418.98,313.0975000000001,0.7472850732731874
AWP | Chromatic Aberration,Recoil Case,Covert,567.0,FN,YOUPIN,,False,Gold,5.0,4368.81125,战痕,873.76225,567.0,306.76225,0.5410268959435626
Desert Eagle | Ocean Drive,Operation Riptide Case,Covert,418.75,BS,C5,,False,Gold,5.0,3502.7208333333333,战痕,700.5441666666667,418.75,281.7941666666667,0.6729412935323383
AWP | Chromatic Aberration,Recoil Case,Covert,219.0,FT,BUFF,,False,Gold,5.0,1977.56125,战痕,395.51225,219.0,176.51225,0.8059920091324201
SCAR-20 | Cyrex,Huntsman Weapon Case,Classified,409.5,FN,BUFF,,False,Covert,10.0,5780.0,久经,578.0,409.5,168.5,0.41147741147741146
USP-S | Printstream,Recoil Case,Covert,234.9,FT,BUFF,,False,Gold,5.0,1977.56125,战痕,395.51225,234.9,160.61225,0.6837473392933162
Glock-18 | Wasteland Rebel,Gamma Case,Covert,748.0,BS,C5,,False,Gold,5.0,4360.941666666667,战痕,872.1883333333333,748.0,124.18833333333328,0.16602718360071295
Glock-18 | Wasteland Rebel,Gamma Case,Covert,768.0,WW,BUFF,,False,Gold,5.0,4374.665,战痕,874.933,768.0,106.93299999999999,0.13923567708333331
Galil AR | Orange DDPAT,ESports 2013 Case,Restricted,105.0,BS,BUFF,,False,Classified,10.0,2107.935,战痕,210.7935,105.0,105.7935,1.0075571428571428
USP-S | Printstream,Recoil Case,Covert,238.0,WW,BUFF,,False,Gold,5.0,1706.6712499999999,战痕,341.33425,238.0,103.33425,0.43417752100840334
Sawed-Off | Orange DDPAT,ESports 2013 Case,Restricted,107.9,FT,YOUPIN,,False,Classified,10.0,2107.935,久经,210.7935,107.9,102.89349999999999,0.9536005560704355
Sawed-Off | Orange DDPAT,ESports 2013 Case,Restricted,115.0,WW,BUFF,,False,Classified,10.0,2107.935,久经,210.7935,115.0,95.7935,0.832986956521739
Galil AR | Orange DDPAT,ESports 2013 Case,Restricted,119.0,WW,BUFF,,False,Classified,10.0,2107.935,战痕,210.7935,119.0,91.7935,0.7713739495798319
Sawed-Off | Orange DDPAT,ESports 2013 Case,Restricted,122.57,BS,STEAM,,False,Classified,10.0,2107.935,久经,210.7935,122.57,88.2235,0.7197805335726524
AWP | Chromatic Aberration,Recoil Case,Covert,185.78,BS,C5,,False,Gold,5.0,1362.6875,战痕,272.5375,185.78,86.75750000000002,0.4669905264291098
Galil AR | Orange DDPAT,ESports 2013 Case,Restricted,124.9,FT,YOUPIN,,False,Classified,10.0,2107.935,战痕,210.7935,124.9,85.89349999999999,0.6876981585268214
P2000 | Imperial Dragon,Gamma Case,Classified,73.05,BS,HALOSKINS,,False,Covert,10.0,1573.125,战痕,157.3125,73.05,84.2625,1.1534907597535935
AWP | Chromatic Aberration,Recoil Case,Covert,317.0,MW,YOUPIN,,False,Gold,5.0,1977.56125,战痕,395.51225,317.0,78.51225,0.24767271293375392
P2000 | Imperial Dragon,Gamma Case,Classified,87.46,WW,YOUPIN,,False,Covert,10.0,1618.2649999999999,战痕,161.82649999999998,87.46,74.36649999999999,0.8502915618568487
SCAR-20 | Bloodsport,Gamma Case,Classified,83.5,WW,BUFF,,False,Covert,10.0,1573.125,破损,157.3125,83.5,73.8125,0.8839820359281437
M4A4 | Desolate Space,Gamma Case,Classified,84.53,BS,BUFF,,False,Covert,10.0,1583.125,战痕,158.3125,84.53,73.7825,0.8728557908434875
SCAR-20 | Bloodsport,Gamma Case,Classified,91.81,FT,BUFF,,False,Covert,10.0,1618.2649999999999,破损,161.82649999999998,91.81,70.01649999999998,0.7626238971789563
P2000 | Imperial Dragon,Gamma Case,Classified,92.0,FT,YOUPIN,,False,Covert,10.0,1618.2649999999999,战痕,161.82649999999998,92.0,69.82649999999998,0.7589836956521737
M4A4 | Desolate Space,Gamma Case,Classified,94.88,WW,C5,,False,Covert,10.0,1618.2649999999999,战痕,161.82649999999998,94.88,66.94649999999999,0.7055912731871837
AWP | Chromatic Aberration,Recoil Case,Covert,206.0,WW,BUFF,,False,Gold,5.0,1362.6875,战痕,272.5375,206.0,66.53750000000002,0.3229975728155341
P250 | Red Rock,Operation Hydra Case,Restricted,111.13,BS,STEAM,,False,Classified,10.0,1765.4066666666668,战痕,176.54066666666668,111.13,65.41066666666669,0.5885959386904228
P2000 | Woodsman,Operation Hydra Case,Restricted,121.26,BS,C5,,False,Classified,10.0,1816.24,战痕,181.624,121.26,60.36399999999999,0.49780636648523824
M4A4 | Desolate Space,Gamma Case,Classified,109.0,FT,BUFF,,False,Covert,10.0,1671.625,战痕,167.1625,109.0,58.162499999999994,0.5336009174311926
P90 | Death Grip,Operation Hydra Case,Restricted,119.4,BS,YOUPIN,,False,Classified,10.0,1765.4066666666668,战痕,176.54066666666668,119.4,57.140666666666675,0.4785650474595199
SCAR-20 | Bloodsport,Gamma Case,Classified,110.5,MW,BUFF,,False,Covert,10.0,1671.625,破损,167.1625,110.5,56.662499999999994,0.5127828054298642
P250 | Splash,ESports 2013 Case,Restricted,159.9,MW,BUFF,,False,Classified,10.0,2107.935,略磨,210.7935,159.9,50.89349999999999,0.3182833020637898
USP-S | Printstream,Recoil Case,Covert,226.0,BS,BUFF,,False,Gold,5.0,1362.6875,战痕,272.5375,226.0,46.53750000000002,0.20591814159292046
AK-47 | The Empress,Spectrum 2 Case,Covert,546.87,WW,HALOSKINS,,False,Gold,5.0,2940.8066666666664,破损,588.1613333333332,546.87,41.29133333333323,0.07550484271094268
AK-47 | The Empress,Spectrum 2 Case,Covert,550.0,BS,BUFF,,False,Gold,5.0,2949.0599999999995,破损,589.8119999999999,550.0,39.8119999999999,0.07238545454545436
Glock-18 | Wasteland Rebel,Gamma Case,Covert,838.28,FT,C5,,False,Gold,5.0,4364.665,战痕,872.933,838.28,34.65300000000002,0.04133821634775972
USP-S | Printstream,Recoil Case,Covert,841.0,FN,YOUPIN,,False,Gold,5.0,4368.81125,战痕,873.76225,841.0,32.762249999999995,0.038956302021403086
CZ75-Auto | Yellow Jacket,Falchion Case,Classified,171.01,FN,BUFF,,False,Covert,10.0,2028.0,破损,202.8,171.01,31.79000000000002,0.18589556166306076
SG 553 | Cyrex,Falchion Case,Classified,29.69,WW,BUFF,,False,Covert,10.0,594.5,破损,59.45,29.69,29.76,1.0023576961940048
SG 553 | Cyrex,Falchion Case,Classified,30.93,BS,BUFF,,False,Covert,10.0,594.5,破损,59.45,30.93,28.520000000000003,0.9220821209182025
P250 | See Ya Later,Spectrum 2 Case,Covert,573.06,BS,C5,,False,Gold,5.0,2992.7433333333333,战痕,598.5486666666667,573.06,25.488666666666745,0.044478181458602495
CZ75-Auto | Yellow Jacket,Falchion Case,Classified,34.0,WW,YOUPIN,,False,Covert,10.0,594.5,破损,59.45,34.0,25.450000000000003,0.748529411764706
PP-Bizon | Antique,Huntsman Weapon Case,Restricted,83.38,FN,C5,,False,Classified,10.0,1085.85,久经,108.585,83.38,25.205,0.3022907171983689
CZ75-Auto | Yellow Jacket,Falchion Case,Classified,34.57,BS,C5,,False,Covert,10.0,594.5,破损,59.45,34.57,24.880000000000003,0.7196991611223605
SSG 08 | Blood in the Water,CSGO Weapon Case 2,Covert,1059.98,FN,YOUPIN,,False,Gold,5.0,5422.513333333333,略磨,1084.5026666666668,1059.98,24.522666666666737,0.023135027704925315
XM1014 | Teclu Burner,Revolver Case,Restricted,34.9,FN,C5,,False,Classified,10.0,590.0,久经,59.0,34.9,24.1,0.6905444126074499
XM1014 | Heaven Guard,Huntsman Weapon Case,Restricted,85.27,FN,HALOSKINS,,False,Classified,10.0,1085.85,久经,108.585,85.27,23.314999999999998,0.27342558930456196
PP-Bizon | Fuel Rod,Revolver Case,Restricted,38.0,FN,YOUPIN,,False,Classified,10.0,590.0,战痕,59.0,38.0,21.0,0.5526315789473685
SG 553 | Cyrex,Falchion Case,Classified,182.0,FN,BUFF,,False,Covert,10.0,2028.0,破损,202.8,182.0,20.80000000000001,0.11428571428571435
P250 | Splash,ESports 2013 Case,Restricted,190.0,FT,STEAM,,False,Classified,10.0,2107.935,略磨,210.7935,190.0,20.793499999999995,0.1094394736842105
SG 553 | Tiger Moth,Revolver Case,Restricted,38.47,FN,YOUPIN,,False,Classified,10.0,590.0,破损,59.0,38.47,20.53,0.5336625942292696
P90 | Chopper,Gamma Case,Restricted,31.7,FN,BUFF,,False,Classified,10.0,489.9666666666667,战痕,48.99666666666667,31.7,17.29666666666667,0.5456361724500527
MP5-SD | Gauss,Prisma Case,Restricted,3.24,WW,YOUPIN,,False,Classified,10.0,204.7,破损,20.47,3.24,17.229999999999997,5.3179012345679
Tec-9 | Bamboozle,Prisma Case,Restricted,3.27,BS,BUFF,,False,Classified,10.0,204.7,战痕,20.47,3.27,17.2,5.259938837920489
MP5-SD | Gauss,Prisma Case,Restricted,3.37,FT,YOUPIN,,False,Classified,10.0,204.875,破损,20.4875,3.37,17.1175,5.079376854599406
MP5-SD | Gauss,Prisma Case,Restricted,3.39,BS,YOUPIN,,False,Classified,10.0,204.7,破损,20.47,3.39,17.08,5.03834808259587
Tec-9 | Bamboozle,Prisma Case,Restricted,3.57,FT,BUFF,,False,Classified,10.0,204.875,战痕,20.4875,3.57,16.9175,4.738795518207283
UMP-45 | Moonrise,Prisma Case,Restricted,3.99,FT,YOUPIN,,False,Classified,10.0,204.7,久经,20.47,3.99,16.479999999999997,4.13032581453634
Tec-9 | Bamboozle,Prisma Case,Restricted,4.04,WW,BUFF,,False,Classified,10.0,204.7,战痕,20.47,4.04,16.43,4.066831683168317
Desert Eagle | Light Rail,Prisma Case,Restricted,4.78,BS,BUFF,,False,Classified,10.0,204.7,战痕,20.47,4.78,15.689999999999998,3.282426778242677
Desert Eagle | Light Rail,Prisma Case,Restricted,5.03,WW,YOUPIN,,False,Classified,10.0,204.7,战痕,20.47,5.03,15.439999999999998,3.069582504970178
Desert Eagle | Light Rail,Prisma Case,Restricted,5.28,FT,BUFF,,False,Classified,10.0,204.875,战痕,20.4875,5.28,15.2075,2.880208333333333
MP5-SD | Gauss,Prisma Case,Restricted,6.6,MW,BUFF,,False,Classified,10.0,215.92000000000002,破损,21.592000000000002,6.6,14.992000000000003,2.271515151515152
AUG | Aristocrat,Gamma Case,Restricted,34.39,FN,BUFF,,False,Classified,10.0,489.9666666666667,战痕,48.99666666666667,34.39,14.60666666666667,0.4247358728312495
UMP-45 | Moonrise,Prisma Case,Restricted,5.95,MW,BUFF,,False,Classified,10.0,204.875,久经,20.4875,5.95,14.537500000000001,2.44327731092437
