marketHashName_used,rarity_en,case_name_en,price,platform,status
AK-47 | Elite Build (Factory New),Mil-Spec,Chroma 2 Case,61.18,BUFF,200
AK-47 | Elite Build (Factory New),Mil-Spec,Chroma 2 Case,63.66,C5,200
AK-47 | Elite Build (Factory New),Mil-Spec,Chroma 2 Case,62.11,YOUPIN,200
AK-47 | Elite Build (Factory New),Mil-Spec,Chroma 2 Case,0.0,WAXPEER,200
AK-47 | Elite Build (Factory New),Mil-Spec,Chroma 2 Case,0.0,DMARKET,200
AK-47 | Elite Build (Factory New),Mil-Spec,Chroma 2 Case,0.0,CSMONEY,200
AK-47 | Elite Build (Factory New),Mil-Spec,Chroma 2 Case,0.0,SKINPORT,200
AK-47 | Elite Build (Factory New),Mil-Spec,Chroma 2 Case,89.83,STEAM,200
AK-47 | Elite Build (Factory New),Mil-Spec,Chroma 2 Case,65.71,HALOSKINS,200
MP7 | Armor Core (Factory New),Mil-Spec,Chroma 2 Case,3.73,C5,200
MP7 | Armor Core (Factory New),Mil-Spec,Chroma 2 Case,5.86,YOUPIN,200
MP7 | Armor Core (Factory New),Mil-Spec,Chroma 2 Case,4.0,BUFF,200
MP7 | Armor Core (Factory New),Mil-Spec,Chroma 2 Case,0.0,WAXPEER,200
MP7 | Armor Core (Factory New),Mil-Spec,Chroma 2 Case,0.0,DMARKET,200
MP7 | Armor Core (Factory New),Mil-Spec,Chroma 2 Case,0.0,CSMONEY,200
MP7 | Armor Core (Factory New),Mil-Spec,Chroma 2 Case,0.0,SKINPORT,200
MP7 | Armor Core (Factory New),Mil-Spec,Chroma 2 Case,5.12,STEAM,200
MP7 | Armor Core (Factory New),Mil-Spec,Chroma 2 Case,3.92,HALOSKINS,200
Desert Eagle | Bronze Deco (Factory New),Mil-Spec,Chroma 2 Case,4.58,C5,200
Desert Eagle | Bronze Deco (Factory New),Mil-Spec,Chroma 2 Case,4.56,YOUPIN,200
Desert Eagle | Bronze Deco (Factory New),Mil-Spec,Chroma 2 Case,0.0,WAXPEER,200
Desert Eagle | Bronze Deco (Factory New),Mil-Spec,Chroma 2 Case,0.0,DMARKET,200
Desert Eagle | Bronze Deco (Factory New),Mil-Spec,Chroma 2 Case,0.0,CSMONEY,200
Desert Eagle | Bronze Deco (Factory New),Mil-Spec,Chroma 2 Case,0.0,SKINPORT,200
Desert Eagle | Bronze Deco (Factory New),Mil-Spec,Chroma 2 Case,4.49,BUFF,200
Desert Eagle | Bronze Deco (Factory New),Mil-Spec,Chroma 2 Case,4.49,HALOSKINS,200
Desert Eagle | Bronze Deco (Factory New),Mil-Spec,Chroma 2 Case,6.54,STEAM,200
P250 | Valence (Factory New),Mil-Spec,Chroma 2 Case,8.98,C5,200
P250 | Valence (Factory New),Mil-Spec,Chroma 2 Case,0.0,WAXPEER,200
P250 | Valence (Factory New),Mil-Spec,Chroma 2 Case,0.0,DMARKET,200
P250 | Valence (Factory New),Mil-Spec,Chroma 2 Case,0.0,CSMONEY,200
