item_name_en,weapon,finish,rarity_en,case_name_en,marketHashName_used,platform,price,source,status
AK-47 | Elite Build,AK-47,Elite Build,Covert,Chroma 2 Case,AK-47 | Elite Build (Factory New),steam,104.23,single,200
MP7 | Armor Core,MP7,Armor Core,Covert,Chroma 2 Case,MP7 | Armor Core (Factory New),steam,5.05,single,200
Desert Eagle | Bronze Deco,Desert Eagle,Bronze Deco,Covert,Chroma 2 Case,Desert Eagle | Bronze Deco (Factory New),steam,6.76,single,200
P250 | Valence,P250,Valence,Covert,Chroma 2 Case,P250 | Valence (Factory New),steam,14.09,single,200
Negev | Man-o'-war,Negev,Man-o'-war,Covert,Chroma 2 Case,Negev | Man-o'-war (Minimal Wear),steam,3.27,single,200
Sawed-Off | Origami,Sawed-Off,Origami,Covert,Chroma 2 Case,Sawed-Off | Origami (Factory New),steam,5.98,single,200
AWP | Worm God,AWP,Worm God,Classified,Chroma 2 Case,AWP | Worm God (Factory New),steam,40.3,single,200
MAG-7 | Heat,MAG-7,Heat,Classified,Chroma 2 Case,MAG-7 | Heat (Factory New),steam,57.38,single,200
CZ75-Auto | Pole Position,CZ75-Auto,Pole Position,Classified,Chroma 2 Case,CZ75-Auto | Pole Position (Factory New),steam,37.23,single,200
UMP-45 | Grand Prix,UMP-45,Grand Prix,Classified,Chroma 2 Case,UMP-45 | Grand Prix (Field-Tested),steam,18.15,single,200
Five-SeveN | Monkey Business,Five-SeveN,Monkey Business,Gold,Chroma 2 Case,Five-SeveN | Monkey Business (Minimal Wear),steam,369.32,single,200
Galil AR | Eco,Galil AR,Eco,Gold,Chroma 2 Case,Galil AR | Eco (Minimal Wear),steam,695.5,single,200
FAMAS | Djinn,FAMAS,Djinn,Gold,Chroma 2 Case,FAMAS | Djinn (Factory New),steam,410.33,single,200
M4A1-S | Hyper Beast,M4A1-S,Hyper Beast,Restricted,Chroma 2 Case,M4A1-S | Hyper Beast (Factory New),steam,5161.07,single,200
MAC-10 | Neon Rider,MAC-10,Neon Rider,Restricted,Chroma 2 Case,MAC-10 | Neon Rider (Factory New),steam,1409.79,single,200
★ Bayonet | Doppler (Phase 1),★ Bayonet,Doppler (Phase 1),Restricted,Chroma 2 Case,,steam,,current,
