item_name_en,weapon,finish,rarity_en,case_name_en,marketHashName_used,platform,price,source,status
AK-47 | Elite Build,AK-47,Elite Build,Covert,Chroma 2 Case,AK-47 | Elite Build (Factory New),steam,94.22,single,200
MP7 | Armor Core,MP7,Armor Core,Covert,Chroma 2 Case,MP7 | Armor Core (Factory New),steam,6.34,single,200
Desert Eagle | Bronze Deco,Desert Eagle,Bronze Deco,Covert,Chroma 2 Case,Desert Eagle | Bronze Deco (Factory New),steam,6.91,single,200
P250 | Valence,P250,Valence,Covert,Chroma 2 Case,P250 | Valence (Factory New),steam,13.54,single,200
Negev | Man-o'-war,Negev,Man-o'-war,Covert,Chroma 2 Case,Negev | Man-o'-war (Minimal Wear),steam,3.34,single,200
Sawed-Off | Origami,Sawed-Off,Origami,Covert,Chroma 2 Case,Sawed-Off | Origami (Factory New),steam,6.34,single,200
AWP | Worm God,AWP,Worm God,Classified,Chroma 2 Case,AWP | Worm God (Factory New),steam,38.12,single,200
MAG-7 | Heat,MAG-7,Heat,Classified,Chroma 2 Case,MAG-7 | Heat (Factory New),steam,57.08,single,200
CZ75-Auto | Pole Position,CZ75-Auto,Pole Position,Classified,Chroma 2 Case,CZ75-Auto | Pole Position (Factory New),steam,37.7,single,200
UMP-45 | Grand Prix,UMP-45,Grand Prix,Classified,Chroma 2 Case,UMP-45 | Grand Prix (Field-Tested),steam,15.89,single,200
