name,series,tier,price,exterior,platform
AK-47 | Aquamarine Revenge,Falchion Case,Covert,1769.0,FN,C5
AK-47 | Asiimov,Danger Zone Case,Covert,3139.5,FN,YOUPIN
AK-47 | Bloodsport,Spectrum Case,Covert,1700.0,FN,BUFF
AK-47 | Blue Laminate,ESports 2013 Winter Case,Restricted,187.5,FN,C5
AK-47 | Case Hardened,CSGO Weapon Case,Classified,3276.4,FN,BUFF
AK-47 | Elite Build,Chroma 2 Case,Mil-Spec,61.18,FN,BUFF
AK-47 | Fire Serpent,Operation Bravo Case,Covert,24255.0,FN,C5
AK-47 | Frontside Misty,Shadow Case,Classified,1488.99,FN,C5
AK-47 | Head Shot,Revolution Case,Covert,867.49,FN,C5
AK-47 | Jaguar,ESports 2014 Summer Case,Covert,4050.0,FN,C5
AK-47 | Leet Museo,Operation Riptide Case,Covert,5680.0,FN,YOUPIN
AK-47 | Legion of Anubis,Fracture Case,Covert,374.9,FN,C5
AK-47 | Neon Revolution,Gamma 2 Case,Covert,2758.0,FN,C5
AK-47 | Neon Rider,Horizon Case,Covert,1949.0,FN,C5
AK-47 | Phantom Disruptor,Prisma 2 Case,Classified,220.19,FN,HALOSKINS
AK-47 | Red Laminate,ESports 2013 Case,Classified,3146.0,FN,YOUPIN
AK-47 | Redline,Operation Phoenix Weapon Case,Classified,1779.5,MW,C5
AK-47 | The Empress,Spectrum 2 Case,Covert,2767.0,FN,YOUPIN
AK-47 | Wasteland Rebel,Operation Vanguard Weapon Case,Covert,3948.0,FN,C5
AUG | Bengal Tiger,ESports 2014 Summer Case,Classified,648.0,FN,YOUPIN
AUG | Chameleon,Operation Phoenix Weapon Case,Covert,595.67,FN,C5
AUG | Death by Puppy,CS20 Case,Classified,94.48,FN,BUFF
AUG | Fleet Flock,Chroma 3 Case,Classified,242.0,FN,YOUPIN
AUG | Plague,Operation Riptide Case,Mil-Spec,26.88,FN,BUFF
AUG | Ricochet,Revolver Case,Mil-Spec,5.81,FN,BUFF
AUG | Syd Mead,Gamma 2 Case,Classified,297.9,FN,C5
AUG | Tom Cat,Prisma 2 Case,Mil-Spec,3.19,FN,BUFF
AUG | Wings,CSGO Weapon Case,Mil-Spec,122.97,FN,C5
AWP | Asiimov,Operation Phoenix Weapon Case,Covert,794.0,FT,C5
AWP | BOOM,ESports 2013 Case,Classified,4999.0,FN,C5
AWP | Capillary,Prisma 2 Case,Mil-Spec,23.0,FN,BUFF
