name,series,tier,price,exterior,platform,stattrak,float,next_tier,K,avg_out_next,best_exterior,value_per_item,buy_cost,margin,profit_ratio
SG 553 | Cyberforce,Revolution Case,Mil-Spec,1.2000000000000002,BS,YOUPIN,True,,Restricted,10,,战痕,,1.2000000000000002,,
SG 553 | Cyberforce,Revolution Case,Mil-Spec,1.23,BS,BUFF,True,,Restricted,10,,战痕,,1.23,,
SG 553 | Cyberforce,Revolution Case,Mil-Spec,1.38,BS,C5,True,,Restricted,10,,战痕,,1.38,,
SG 553 | Cyberforce,Revolution Case,Mil-Spec,2.97,BS,STEAM,True,,Restricted,10,,战痕,,2.97,,
SG 553 | Cyberforce,Revolution Case,Mil-Spec,1.5,BS,HALOSKINS,True,,Restricted,10,,战痕,,1.5,,
Galil AR | Connexion,Fracture Case,Restricted,50.61,FN,C5,True,,Classified,10,,崭新,,50.61,,
Galil AR | Connexion,Fracture Case,Restricted,56.25,FN,HALOSKINS,True,,Classified,10,,崭新,,56.25,,
Galil AR | Connexion,Fracture Case,Restricted,49.2,FN,Buff,True,,Classified,10,,崭新,,49.2,,
Galil AR | Connexion,Fracture Case,Restricted,47.37,FN,YOUPIN,True,,Classified,10,,崭新,,47.37,,
Galil AR | Connexion,Fracture Case,Restricted,71.82000000000001,FN,Steam,True,,Classified,10,,崭新,,71.82000000000001,,
Galil AR | Connexion,Fracture Case,Restricted,5.2,MW,C5,False,,Classified,10,,略磨,,5.2,,
Galil AR | Connexion,Fracture Case,Restricted,5.0,MW,YOUPIN,False,,Classified,10,,略磨,,5.0,,
Galil AR | Connexion,Fracture Case,Restricted,5.68,MW,Buff,False,,Classified,10,,略磨,,5.68,,
Galil AR | Connexion,Fracture Case,Restricted,7.98,MW,Steam,False,,Classified,10,,略磨,,7.98,,
Galil AR | Connexion,Fracture Case,Restricted,5.42,MW,HALOSKINS,False,,Classified,10,,略磨,,5.42,,
Galil AR | Connexion,Fracture Case,Restricted,2.76,FT,C5,False,,Classified,10,,久经,,2.76,,
Galil AR | Connexion,Fracture Case,Restricted,2.82,FT,YOUPIN,False,,Classified,10,,久经,,2.82,,
Galil AR | Connexion,Fracture Case,Restricted,2.93,FT,HALOSKINS,False,,Classified,10,,久经,,2.93,,
Galil AR | Connexion,Fracture Case,Restricted,4.7,FT,Steam,False,,Classified,10,,久经,,4.7,,
Galil AR | Connexion,Fracture Case,Restricted,2.69,FT,Buff,False,,Classified,10,,久经,,2.69,,
