name,exterior,price
AK-47 | Aquamarine Revenge,FN,1744.46
AK-47 | Asiimov,FN,2999.5
AK-47 | Bloodsport,FN,1654.8
AK-47 | Blue Laminate,FN,184.58
AK-47 | Cartel,FN,660.0
AK-47 | Elite Build,FN,60.9
AK-47 | Fire Serpent,FN,24999.5
AK-47 | Frontside Misty,FN,1519.0
AK-47 | Fuel Injector,FN,6049.0
AK-47 | Head Shot,FN,810.0
AK-47 | Ice Coaled,FN,120.0
AK-47 | Jaguar,FN,4200.0
AK-47 | Leet Museo,FN,5859.99
AK-47 | Neon Rider,FN,1930.0
AK-47 | Nightwish,FN,1120.0
AK-47 | Orbit Mk01,FN,757.9
AK-47 | Phantom Disruptor,FN,219.45
AK-47 | Point Disarray,FN,698.36
AK-47 | Red Laminate,FN,3000.0
AK-47 | The Empress,FN,2719.5
AK-47 | Vulcan,FN,5970.0
AUG | Amber Slipstream,FN,3.95
AUG | Aristocrat,FN,29.0
AUG | Bengal Tiger,FN,649.0
AUG | Death by Puppy,FN,103.0
AUG | Fleet Flock,FN,248.88
AUG | Momentum,FN,374.0
AUG | Ricochet,FN,6.36
AUG | Stymphalian,FN,120.0
AUG | Tom Cat,FN,3.79
AUG | Torque,FN,84.91
AUG | Triqua,FN,6.28
AUG | Wings,FN,128.22
AWP | Atheris,FN,118.5
AWP | BOOM,FN,4599.0
AWP | Capillary,FN,27.8
AWP | Chromatic Aberration,FN,604.8
AWP | Containment Breach,WW,387.0
AWP | Corticera,FN,2009.0
AWP | Duality,FN,105.35
AWP | Electric Hive,FN,726.0
AWP | Elite Build,FN,559.5
AWP | Exoskeleton,FN,216.89
AWP | Graphite,FN,1430.0
AWP | Hyper Beast,FN,1268.9
AWP | Man-o'-war,MW,788.5
AWP | Mortis,FN,115.98
AWP | Neo-Noir,FN,395.0
AWP | Oni Taiji,FN,7935.93
AWP | PAW,FN,34.9
AWP | Phobos,FN,30.4
AWP | Redline,MW,515.0
AWP | Wildfire,FN,1274.0
AWP | Worm God,FN,28.0
CZ75-Auto | Circaetus,FN,6.49
CZ75-Auto | Distressed,FN,4.89
CZ75-Auto | Eco,FN,38.89
CZ75-Auto | Hexane,FN,40.0
CZ75-Auto | Imprint,FN,6.96
CZ75-Auto | Pole Position,FN,28.0
CZ75-Auto | Polymer,FN,10.52
CZ75-Auto | Tacticat,FN,21.0
CZ75-Auto | The Fuschia Is Now,FN,247.96
CZ75-Auto | Victoria,FN,590.0
CZ75-Auto | Yellow Jacket,FN,191.0
Desert Eagle | Blue Ply,FN,16.16
Desert Eagle | Bronze Deco,FN,4.45
Desert Eagle | Cobalt Disruption,FN,701.33
Desert Eagle | Code Red,FN,1313.5
Desert Eagle | Conspiracy,FN,179.99
Desert Eagle | Corinthian,FN,7.32
Desert Eagle | Crimson Web,FN,1296.0
Desert Eagle | Golden Koi,FN,2540.0
Desert Eagle | Heirloom,FN,510.0
Desert Eagle | Kumicho Dragon,FN,482.89
Desert Eagle | Light Rail,FN,38.0
Desert Eagle | Mecha Industries,FN,118.0
Desert Eagle | Naga,FN,130.0
Desert Eagle | Ocean Drive,FN,3228.0
Desert Eagle | Oxide Blaze,FN,6.25
Dual Berettas | Balance,FN,34.0
Dual Berettas | Cobra Strike,FN,889.5
Dual Berettas | Dezastre,FN,118.9
Dual Berettas | Dualing Dragons,FN,17.0
Dual Berettas | Elite 1.6,FN,3.91
Dual Berettas | Flora Carnivora,FN,23.2
Dual Berettas | Marina,FN,137.5
Dual Berettas | Melondrama,FN,119.9
Dual Berettas | Royal Consorts,FN,70.98
Dual Berettas | Shred,FN,4.11
Dual Berettas | Urban Shock,FN,44.66
Dual Berettas | Ventilators,FN,3.93
FAMAS | Afterimage,FN,343.98
FAMAS | Commemoration,FN,308.5
FAMAS | Crypsis,FN,4.4
FAMAS | Decommissioned,FN,6.82
FAMAS | Djinn,FN,280.0
FAMAS | Doomkitty,MW,32.87
FAMAS | Eye of Athena,FN,174.5
FAMAS | Hexane,FN,22.01
FAMAS | Macabre,FN,52.88
FAMAS | Mecha Industries,FN,627.0
FAMAS | Meow 36,FN,4.44
FAMAS | Neural Net,FN,23.26
FAMAS | Pulse,FN,68.96
FAMAS | Rapid Eye Movement,FN,127.5
FAMAS | Survivor Z,FN,7.42
