name,float_min,float_max,source
AK-47 | Elite Build,0.0,1.0,csgo_api_github
MP7 | Armor Core,0.0,0.5,csgo_api_github
Desert Eagle | Bronze Deco,0.0,0.46,csgo_api_github
P250 | Valence,0.0,0.8,csgo_api_github
Negev | Man-o'-war,0.1,0.2,csgo_api_github
Sawed-Off | Origami,0.0,0.55,csgo_api_github
AWP | Worm God,0.0,0.45,csgo_api_github
MAG-7 | Heat,0.0,1.0,csgo_api_github
CZ75-Auto | Pole Position,0.0,0.7,csgo_api_github
UMP-45 | Grand Prix,0.25,0.35,csgo_api_github
Five-SeveN | Monkey Business,0.1,0.9,csgo_api_github
Galil AR | Eco,0.1,0.85,csgo_api_github
FAMAS | Djinn,0.0,1.0,csgo_api_github
M4A1-S | Hyper Beast,0.0,1.0,csgo_api_github
MAC-10 | Neon Rider,0.0,0.45,csgo_api_github
★ Bayonet | Doppler (Phase 1),0.06,0.8,default_estimate
★ Bayonet | Doppler (Phase 2),0.06,0.8,default_estimate
★ Bayonet | Doppler (Phase 3),0.06,0.8,default_estimate
★ Bayonet | Doppler (Phase 4),0.06,0.8,default_estimate
★ Bayonet | Doppler (Black Pearl),0.06,0.8,default_estimate
★ Bayonet | Doppler (Ruby),0.06,0.8,default_estimate
★ Bayonet | Doppler (Sapphire),0.06,0.8,default_estimate
★ Bayonet | Damascus Steel,0.0,0.5,csgo_api_github
★ Bayonet | Marble Fade,0.0,0.08,csgo_api_github
★ Bayonet | Tiger Tooth,0.0,0.08,csgo_api_github
★ Bayonet | Rust Coat,0.4,1.0,csgo_api_github
★ Bayonet | Ultraviolet,0.06,0.8,csgo_api_github
★ Flip Knife | Doppler (Phase 1),0.06,0.8,default_estimate
★ Flip Knife | Doppler (Phase 2),0.06,0.8,default_estimate
★ Flip Knife | Doppler (Phase 3),0.06,0.8,default_estimate
★ Flip Knife | Doppler (Phase 4),0.06,0.8,default_estimate
★ Flip Knife | Doppler (Black Pearl),0.06,0.8,default_estimate
★ Flip Knife | Doppler (Ruby),0.06,0.8,default_estimate
★ Flip Knife | Doppler (Sapphire),0.06,0.8,default_estimate
★ Flip Knife | Damascus Steel,0.0,0.5,csgo_api_github
★ Flip Knife | Marble Fade,0.0,0.08,csgo_api_github
★ Flip Knife | Tiger Tooth,0.0,0.08,csgo_api_github
★ Flip Knife | Rust Coat,0.4,1.0,csgo_api_github
★ Flip Knife | Ultraviolet,0.06,0.8,csgo_api_github
★ Gut Knife | Doppler (Phase 1),0.06,0.8,default_estimate
★ Gut Knife | Doppler (Phase 2),0.06,0.8,default_estimate
★ Gut Knife | Doppler (Phase 3),0.06,0.8,default_estimate
★ Gut Knife | Doppler (Phase 4),0.06,0.8,default_estimate
★ Gut Knife | Doppler (Black Pearl),0.06,0.8,default_estimate
★ Gut Knife | Doppler (Ruby),0.06,0.8,default_estimate
★ Gut Knife | Doppler (Sapphire),0.06,0.8,default_estimate
★ Gut Knife | Damascus Steel,0.0,0.5,csgo_api_github
★ Gut Knife | Marble Fade,0.0,0.08,csgo_api_github
★ Gut Knife | Tiger Tooth,0.0,0.08,csgo_api_github
★ Gut Knife | Rust Coat,0.4,1.0,csgo_api_github
★ Gut Knife | Ultraviolet,0.06,0.8,csgo_api_github
★ Karambit | Doppler (Phase 1),0.06,0.8,default_estimate
★ Karambit | Doppler (Phase 2),0.06,0.8,default_estimate
★ Karambit | Doppler (Phase 3),0.06,0.8,default_estimate
★ Karambit | Doppler (Phase 4),0.06,0.8,default_estimate
★ Karambit | Doppler (Black Pearl),0.06,0.8,default_estimate
★ Karambit | Doppler (Ruby),0.06,0.8,default_estimate
★ Karambit | Doppler (Sapphire),0.06,0.8,default_estimate
★ Karambit | Damascus Steel,0.0,0.5,csgo_api_github
★ Karambit | Marble Fade,0.0,0.08,csgo_api_github
