name,series,tier,price,exterior,platform,float,stattrak,next_tier,K,avg_out_next,best_exterior,value_per_item,buy_cost,margin,profit_ratio
SSG 08 | Dragonfire,Glove Case,Covert,4318.0,FN,C5,,False,Gold,5.0,93684.6609090909,崭新,15926.392354545455,4318.0,11608.392354545455,2.6883724767358625
M4A4 | Buzz Kill,Glove Case,Covert,7099.49,FN,C5,,False,Gold,5.0,93684.6609090909,崭新,15926.392354545455,7099.49,8826.902354545455,1.2433149922804956
Five-SeveN | Hyper Beast,Operation Hydra Case,Covert,5629.5,FN,YOUPIN,,False,Gold,5.0,53410.92791666667,崭新,9079.857745833333,5629.5,3450.357745833333,0.6129066073067472
MP7 | Bloodsport,Clutch Case,Covert,602.45,FN,C5,,False,Gold,5.0,12251.0,崭新,2082.67,602.45,1480.22,2.4570005809610755
AK-47 | Head Shot,Revolution Case,Covert,810.0,FN,YOUPIN,,False,Gold,5.0,12978.65625,崭新,2206.3715625,810.0,1396.3715625,1.7239155092592593
M4A4 | Temukau,Revolution Case,Covert,854.5,FN,YOUPIN,,False,Gold,5.0,12978.65625,崭新,2206.3715625,854.5,1351.8715625,1.5820615125804565
AWP | Chromatic Aberration,Recoil Case,Covert,604.8,FN,C5,,False,Gold,5.0,10366.752,崭新,1762.34784,604.8,1157.54784,1.9139349206349208
AWP | Oni Taiji,Operation Hydra Case,Covert,7935.93,FN,YOUPIN,,False,Gold,5.0,53410.92791666667,崭新,9079.857745833333,7935.93,1143.9277458333327,0.14414539264249213
R8 Revolver | Fade,Revolver Case,Covert,547.9,FN,YOUPIN,,False,Gold,5.0,8922.709461538461,崭新,1516.8606084615383,547.9,968.9606084615383,1.7684990116107653
Sawed-Off | The Kraken,Winter Offensive Weapon Case,Covert,565.0,FN,BUFF,,False,Gold,5.0,8840.187869565218,崭新,1502.831937826087,565.0,937.8319378260869,1.659879535975375
USP-S | Printstream,Recoil Case,Covert,854.99,FN,YOUPIN,,False,Gold,5.0,10366.752,崭新,1762.34784,854.99,907.3578399999999,1.0612496520427137
P90 | Death by Kitty,ESports 2013 Case,Covert,730.0,MW,YOUPIN,,False,Gold,5.0,8638.191836734695,略磨,1468.4926122448983,730.0,738.4926122448983,1.0116337154039703
USP-S | The Traitor,Snakebite Case,Covert,1154.5,FN,C5,,False,Gold,5.0,9266.942608695652,崭新,1575.3802434782608,1154.5,420.8802434782608,0.36455629578021725
P90 | Asiimov,Operation Breakout Weapon Case,Covert,1583.0,FN,BUFF,,False,Gold,5.0,11628.666666666666,崭新,1976.8733333333334,1583.0,393.87333333333345,0.24881448726047597
M4A1-S | Cyrex,Operation Breakout Weapon Case,Covert,1643.0,FN,YOUPIN,,False,Gold,5.0,11628.666666666666,崭新,1976.8733333333334,1643.0,333.87333333333345,0.20320957597890046
