箱子名称,投入材料,材料稀有度,材料外观,材料价格,产出稀有度,需要数量,总投入,期望产出,单件利润,总利润,ROI,平台
CS20 Case,P90 | Nostalgia,Classified,BS,50.19,Covert,10,501.9,1132.005,63.01050000000001,630.105,125.54%,STEAM
CS20 Case,FAMAS | Commemoration,Covert,FN,453.11,Gold,5,2265.55,2422.401666666667,31.37033333333341,156.85166666666706,6.92%,STEAM
CSGO Weapon Case 3,CZ75-Auto | Victoria,Covert,FN,984.02,Gold,5,4920.1,5309.215094339625,77.82301886792493,389.11509433962465,7.91%,STEAM
Chroma 2 Case,Negev | Man-o'-war,Mil-Spec,MW,2.84,Restricted,10,28.4,36.665000000000006,0.8265000000000007,8.265000000000008,29.10%,STEAM
Chroma 2 Case,UMP-45 | Grand Prix,Restricted,FT,15.87,Classified,10,158.7,484.92333333333335,32.62233333333334,326.22333333333336,205.56%,STEAM
Chroma 2 Case,CZ75-Auto | Pole Position,Restricted,FN,36.81,Classified,10,368.1,484.92333333333335,11.682333333333332,116.82333333333332,31.74%,STEAM
Chroma 2 Case,AWP | Worm God,Restricted,FN,37.02,Classified,10,370.20000000000005,484.92333333333335,11.472333333333331,114.72333333333331,30.99%,STEAM
Chroma 3 Case,M249 | Spectre,Mil-Spec,FN,5.19,Restricted,10,51.900000000000006,91.576,3.9676,39.676,76.45%,STEAM
Chroma 3 Case,Dual Berettas | Ventilators,Mil-Spec,FN,5.69,Restricted,10,56.900000000000006,91.576,3.4676,34.676,60.94%,STEAM
Chroma 3 Case,G3SG1 | Orange Crash,Mil-Spec,FN,5.69,Restricted,10,56.900000000000006,91.576,3.4676,34.676,60.94%,STEAM
Chroma 3 Case,P2000 | Oceanic,Mil-Spec,FN,6.05,Restricted,10,60.5,91.576,3.1076000000000006,31.076000000000008,51.37%,STEAM
Chroma 3 Case,MP9 | Bioleak,Mil-Spec,FN,6.19,Restricted,10,61.900000000000006,91.576,2.9676,29.676000000000002,47.94%,STEAM
Chroma 3 Case,SG 553 | Atlas,Mil-Spec,FN,8.68,Restricted,10,86.8,91.576,0.4776000000000007,4.776000000000007,5.50%,STEAM
