name,series,tier,price,exterior,platform,float,stattrak,next_tier,K,avg_out_next,best_exterior,value_per_item,buy_cost,margin,profit_ratio
Five-SeveN | Hyper Beast,Operation Hydra Case,Covert,3955.0,MW,BUFF,,False,Gold,5.0,51516.65708333333,略磨,10303.331416666666,3955.0,6348.331416666666,1.6051406868942266
AWP | Oni Taiji,Operation Hydra Case,Covert,7945.0,FN,C5,,False,Gold,5.0,51516.65708333333,崭新,10303.331416666666,7945.0,2358.331416666666,0.2968321481015313
M4A1-S | Cyrex,Operation Breakout Weapon Case,Covert,1660.0,FN,BUFF,,False,Gold,5.0,11370.291666666666,崭新,2274.0583333333334,1660.0,614.0583333333334,0.3699146586345382
P90 | Asiimov,Operation Breakout Weapon Case,Covert,1666.0,FN,YOUPIN,,False,Gold,5.0,11370.291666666666,崭新,2274.0583333333334,1666.0,608.0583333333334,0.3649809923969588
AK-47 | Head Shot,Revolution Case,Covert,867.49,FN,C5,,False,Gold,5.0,6533.62125,崭新,1306.72425,867.49,439.23425,0.5063277386482841
M4A4 | Temukau,Revolution Case,Covert,869.65,FN,C5,,False,Gold,5.0,6533.62125,崭新,1306.72425,869.65,437.07425,0.5025863853274306
P90 | Death by Kitty,ESports 2013 Case,Covert,699.0,MW,BUFF,,False,Gold,5.0,5374.5,略磨,1074.9,699.0,375.9000000000001,0.5377682403433478
FAMAS | Commemoration,CS20 Case,Covert,311.5,FN,BUFF,,False,Gold,5.0,3382.7075,崭新,676.5415,311.5,365.04150000000004,1.1718828250401285
P2000 | Ocean Foam,Operation Bravo Case,Classified,995.0,FN,YOUPIN,,False,Covert,10.0,13385.0,崭新,1338.5,995.0,343.5,0.34522613065326635
AK-47 | Legion of Anubis,Fracture Case,Covert,374.9,FN,C5,,False,Gold,5.0,3211.09375,崭新,642.21875,374.9,267.31875,0.7130401440384103
AUG | Chameleon,Operation Phoenix Weapon Case,Covert,595.67,FN,C5,,False,Gold,5.0,3988.5,崭新,797.7,595.67,202.0300000000001,0.33916430238219164
AWP | Neo-Noir,Danger Zone Case,Covert,400.0,FN,YOUPIN,,False,Gold,5.0,2730.5114893617024,崭新,546.1022978723405,400.0,146.1022978723405,0.36525574468085126
UMP-45 | Momentum,Danger Zone Case,Classified,90.0,FN,C5,,False,Covert,10.0,1769.75,崭新,176.975,90.0,86.975,0.9663888888888889
MP5-SD | Phosphor,Danger Zone Case,Classified,93.5,FN,YOUPIN,,False,Covert,10.0,1769.75,崭新,176.975,93.5,83.475,0.8927807486631015
XM1014 | Tranquility,Operation Vanguard Weapon Case,Classified,162.9,FN,BUFF,,False,Covert,10.0,2329.0,崭新,232.9,162.9,70.0,0.4297114794352363
Desert Eagle | Mecha Industries,Danger Zone Case,Classified,119.0,FN,BUFF,,False,Covert,10.0,1769.75,崭新,176.975,119.0,57.974999999999994,0.48718487394957977
P250 | Cartel,Operation Vanguard Weapon Case,Classified,180.0,FN,YOUPIN,,False,Covert,10.0,2329.0,崭新,232.9,180.0,52.900000000000006,0.2938888888888889
SCAR-20 | Cardiac,Operation Vanguard Weapon Case,Classified,185.0,FN,BUFF,,False,Covert,10.0,2329.0,崭新,232.9,185.0,47.900000000000006,0.25891891891891894
MP7 | Ocean Foam,ESports 2014 Summer Case,Restricted,62.7,FN,BUFF,,False,Classified,10.0,954.345,崭新,95.4345,62.7,32.7345,0.5220813397129186
Five-SeveN | Boost Protocol,Operation Riptide Case,Restricted,74.5,FN,YOUPIN,,False,Classified,10.0,1034.1666666666667,崭新,103.41666666666667,74.5,28.91666666666667,0.38814317673378085
MAG-7 | BI83 Spectrum,Operation Riptide Case,Restricted,75.78,FN,C5,,False,Classified,10.0,1034.1666666666667,崭新,103.41666666666667,75.78,27.63666666666667,0.3646960499692092
Nova | Clear Polymer,Operation Broken Fang Case,Restricted,114.0,FN,BUFF,,False,Classified,10.0,1415.9333333333334,崭新,141.59333333333333,114.0,27.593333333333334,0.242046783625731
Dual Berettas | Dezastre,Operation Broken Fang Case,Restricted,114.49,FN,YOUPIN,,False,Classified,10.0,1415.9333333333334,崭新,141.59333333333333,114.49,27.10333333333334,0.2367310099863162
SSG 08 | Parallax,Operation Broken Fang Case,Restricted,114.5,FN,YOUPIN,,False,Classified,10.0,1415.9333333333334,崭新,141.59333333333333,114.5,27.093333333333334,0.23662299854439592
UMP-45 | Gold Bismuth,Operation Broken Fang Case,Restricted,115.0,FN,YOUPIN,,False,Classified,10.0,1415.9333333333334,崭新,141.59333333333333,115.0,26.593333333333334,0.2312463768115942
UMP-45 | Grand Prix,Chroma 2 Case,Restricted,9.86,FT,YOUPIN,,False,Classified,10.0,361.52666666666664,久经,36.15266666666666,9.86,26.292666666666662,2.666599053414469
MP7 | Special Delivery,Shadow Case,Restricted,45.75,FN,BUFF,,False,Classified,10.0,688.6633333333333,崭新,68.86633333333333,45.75,23.11633333333333,0.5052750455373406
